CreatorOS Production Issue History Export
  ==========================================
  Generated: 2026-06-05T18:41:38.162Z
  Source: Production PostgreSQL (read-only replica)

  Tables included (oldest to newest, all rows):
    1. audit_logs          — 3,669 rows from 2026-02-24 (OLDEST RECORD)
    2. dead_letter_queue   — 1,337 rows from 2026-03-25
    3. autonomous_action_log — 2,357 rows from 2026-04-27
    4. security_events     — 115 rows from 2026-04-11
    5. pipeline_traces     — 14 rows from 2026-05-24

  Prompt for AI analysis:
    "The following is the full issue/event history for an autonomous YouTube
     channel automation system called CreatorOS. Identify recurring failure
     patterns, systemic problems, periods of instability, and root causes.
     Note any escalation trends and what was working vs broken at each phase."

  ==========================================

  

================================================================================
SECTION: AUDIT LOGS (audit_logs) — 3,669 rows from 2026-02-24
================================================================================

id,user_id,action,target,details,risk_level,created_at
665,ffc4776c-64d1-4715-baf5-e110062b4e87,channel_created,QA Test Channel,"{""platform"": ""youtube"", ""channelId"": ""UC_test123""}",low,2026-02-24 03:17:56.997015
666,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-24T03:30:00.210Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-24 03:30:00.211894
667,ffc4776c-64d1-4715-baf5-e110062b4e87,auto_backlog_completed,0 of 0 videos processed,,low,2026-02-24 03:30:00.241543
668,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-24T04:00:00.214Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-24 04:00:00.215202
669,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-24T04:30:00.190Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-24 04:30:00.193573
670,ffc4776c-64d1-4715-baf5-e110062b4e87,auto_backlog_completed,0 of 0 videos processed,,low,2026-02-24 04:30:00.199966
671,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-24T20:30:00.739Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-24 20:30:00.740377
672,ffc4776c-64d1-4715-baf5-e110062b4e87,auto_backlog_completed,0 of 0 videos processed,,low,2026-02-24 20:30:00.741231
673,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-24T21:00:00.570Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-24 21:00:00.571016
674,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-25T00:00:00.281Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-25 00:00:00.282188
675,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-02-25T00:30:00.079Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-02-25 00:30:00.079842
676,ffc4776c-64d1-4715-baf5-e110062b4e87,auto_backlog_completed,0 of 0 videos processed,,low,2026-02-25 00:30:00.22025
